study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	min	max	comments	mean_unit	value_unit
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	4.0	hr		-1804.194146934019							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	4.5	hr		-1787.8481070976939							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	5.0	hr		-1787.8481070976939							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	5.5	hr		-1281.1208721717242							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	6.0	hr		-970.5461152816096							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	6.5	hr		-1232.0827526627588							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	7.0	hr		-823.4317567547128							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	7.5	hr		-627.279278718851							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	8.0	hr		-414.7807608466665							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	9.0	hr		-349.3966015013788							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	10.0	hr		-823.4317567547128							kilogram/meter/second^2	mmHg
MacFadyen1991		cap	12.0	CAP6.25	MAP (change absolute)			sphygmomanometer	CAP6.25_MAP (change absolute)_cap	24.0	hr		-1019.5842347905747							kilogram/meter/second^2	mmHg
